date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:12:10	146/146	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Mar%202026%2000:12:10%20GMT	https://web.archive.org/robots.txt		(from )
21:12:11	255468/255468	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Mar%202026%2000:12:10%20GMT	https://web.archive.org/web/20230202120752/https://www.funintec.org.ar/futuros-urbanos/	C:/My%20Web%20Sites/f/web.archive.org/web/20230202120752/https_/www.funintec.org.ar/futuros-urbanos/index.html	(from )
21:12:12	15127/15127	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2268fa9f1e-3b17%22	http://archive.org/includes/athena.js	C:/My%20Web%20Sites/f/archive.org/includes/athena.js	(from https://web.archive.org/web/20230202120752/https://www.funintec.org.ar/futuros-urbanos/)
21:12:14	27135/27135	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2004%20Mar%202026%2000:55:41%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=2N_sDSC0	C:/My%20Web%20Sites/f/web-static.archive.org/_static/js/bundle-playbackffba.js	(from https://web.archive.org/web/20230202120752/https://www.funintec.org.ar/futuros-urbanos/)
21:12:15	126763/126763	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2004%20Mar%202026%2000:51:13%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/My%20Web%20Sites/f/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20230202120752/https://www.funintec.org.ar/futuros-urbanos/)
21:12:16	381452/381452	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2004%20Mar%202026%2000:55:41%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	C:/My%20Web%20Sites/f/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20230202120752/https://www.funintec.org.ar/futuros-urbanos/)
21:12:16	10252/10252	---MCZ	200	added ('OK')	text/css	date:Wed,%2025%20Mar%202026%2021:12:33%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=1utQkbB3	C:/My%20Web%20Sites/f/web-static.archive.org/_static/css/banner-styles074f.css	(from https://web.archive.org/web/20230202120752/https://www.funintec.org.ar/futuros-urbanos/)
21:12:16	5649/5649	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Mar%202026%2000:47:30%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=3PDvdIFv	C:/My%20Web%20Sites/f/web-static.archive.org/_static/css/iconochive29a7.css	(from https://web.archive.org/web/20230202120752/https://www.funintec.org.ar/futuros-urbanos/)
21:12:17	152048/152048	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Sun,%2029%20Mar%202026%2000:12:17%20GMT	https://web.archive.org/web/20230202120752cs_/https://www.funintec.org.ar/_dev/wp-content/plugins/novashare/css/style.min.css?ver=1.3.7	C:/My%20Web%20Sites/f/web.archive.org/web/20230202120752cs_/https_/www.funintec.org.ar/_dev/wp-content/plugins/novashare/css/style.min52d0.css	(from https://web.archive.org/web/20230202120752/https://www.funintec.org.ar/futuros-urbanos/)
21:12:17	152176/152176	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Sun,%2029%20Mar%202026%2000:12:17%20GMT	https://web.archive.org/web/20230202120752cs_/https://www.funintec.org.ar/_dev/wp-content/cache/min/1/_dev/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=1669402252	C:/My%20Web%20Sites/f/web.archive.org/web/20230202120752cs_/https_/www.funintec.org.ar/_dev/wp-content/cache/min/1/_dev/wp-content/plugins/contact-form-7/includes/css/styles006b.css	(from https://web.archive.org/web/20230202120752/https://www.funintec.org.ar/futuros-urbanos/)
21:12:17	152193/152193	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Sun,%2029%20Mar%202026%2000:12:18%20GMT	https://web.archive.org/web/20230202120752cs_/https://www.funintec.org.ar/_dev/wp-content/cache/min/1/_dev/wp-content/plugins/essential-grid/public/assets/css/settings.css?ver=1669401952	C:/My%20Web%20Sites/f/web.archive.org/web/20230202120752cs_/https_/www.funintec.org.ar/_dev/wp-content/cache/min/1/_dev/wp-content/plugins/essential-grid/public/assets/css/settings043b.css	(from https://web.archive.org/web/20230202120752/https://www.funintec.org.ar/futuros-urbanos/)
21:12:18	152235/152235	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Sun,%2029%20Mar%202026%2000:12:18%20GMT	https://web.archive.org/web/20230202120752cs_/https://www.funintec.org.ar/_dev/wp-content/cache/min/1/_dev/wp-content/plugins/essential-grid/public/assets/font/fontello/css/fontello.css?ver=1669401952	C:/My%20Web%20Sites/f/web.archive.org/web/20230202120752cs_/https_/www.funintec.org.ar/_dev/wp-content/cache/min/1/_dev/wp-content/plugins/essential-grid/public/assets/font/fontello/css/fontello043b.css	(from https://web.archive.org/web/20230202120752/https://www.funintec.org.ar/futuros-urbanos/)
